2026-05-03 20:53:33 |                                 Quadtrix-v1.0                                 

2026-05-03 20:53:33 |   Started                     2026-05-03  20:53:33        
2026-05-03 20:53:33 |   Device                      CPU                         
2026-05-03 20:53:33 |   PyTorch                     2.4.1+cpu                   
2026-05-03 20:53:33 |   Log file                    C:\Users\Admin\Documents\GitHub\Quadtrix.cpp\engine\logs\run_20260503_205333.txt        

2026-05-03 20:53:47 | ==============================================================================
2026-05-03 20:53:47 |   CONFIG
2026-05-03 20:53:47 | ==============================================================================
2026-05-03 20:53:47 |   Seed                        1337                        
2026-05-03 20:53:47 |   Batch size                  16                          
2026-05-03 20:53:47 |   Block size                  32                          
2026-05-03 20:53:47 |   Learning rate               0.001                       
2026-05-03 20:53:47 |   Layers                      4                           
2026-05-03 20:53:47 |   Heads                       4                           
2026-05-03 20:53:47 |   Embedding dim               64                          
2026-05-03 20:53:47 |   Dropout                     0.1                         
2026-05-03 20:53:47 |   Parameters                  6,684,497                   
2026-05-03 20:53:47 |   Train tokens                7,065,137                   
2026-05-03 20:53:47 |   Val tokens                  785,016                     
2026-05-03 20:53:47 |   Data file                   C:\Users\Admin\Documents\GitHub\Quadtrix.cpp\engine\input.txt        

2026-05-03 20:53:47 | ==============================================================================
2026-05-03 20:53:47 |   TRAINING
2026-05-03 20:53:47 |   10,000 steps | eval every 10 | checkpoint on improvement
2026-05-03 20:53:47 | ==============================================================================

2026-05-03 20:53:57 | step    0/10000 | loss 10.823271          | norm 0.0000          | lr 1.00e-03 | 10130.34 ms | 60.0% bf16 MFU | 50 tok/s
2026-05-03 20:54:16 | step   10/10000 | loss 9.919573 (-0.90z) | norm 1.0755 (-0.90z) | lr 1.00e-03 | 29591.26 ms | 60.0% bf16 MFU | 190 tok/s
2026-05-03 20:54:38 | step   20/10000 | loss 8.960536 (-0.96z) | norm 1.0837 (-0.96z) | lr 1.00e-03 | 50836.74 ms | 60.0% bf16 MFU | 211 tok/s
2026-05-03 20:54:54 | step   30/10000 | loss 7.965471 (-1.00z) | norm 1.1215 (-1.00z) | lr 1.00e-03 | 67585.88 ms | 60.0% bf16 MFU | 234 tok/s
2026-05-03 20:55:15 | step   40/10000 | loss 7.123497 (-0.84z) | norm 1.1473 (-0.84z) | lr 1.00e-03 | 88326.19 ms | 60.0% bf16 MFU | 237 tok/s
2026-05-03 20:55:35 | step   50/10000 | loss 6.588623 (-0.53z) | norm 0.9567 (-0.53z) | lr 1.00e-03 | 107832.80 ms | 60.0% bf16 MFU | 242 tok/s
2026-05-03 20:55:53 | step   60/10000 | loss 6.261659 (-0.33z) | norm 0.8200 (-0.33z) | lr 1.00e-03 | 126345.64 ms | 60.0% bf16 MFU | 247 tok/s
2026-05-03 20:56:13 | step   70/10000 | loss 6.084456 (-0.18z) | norm 0.5600 (-0.18z) | lr 1.00e-03 | 146182.66 ms | 60.0% bf16 MFU | 248 tok/s
2026-05-03 20:56:30 | step   80/10000 | loss 5.920197 (-0.16z) | norm 0.5964 (-0.16z) | lr 1.00e-03 | 162803.26 ms | 60.0% bf16 MFU | 254 tok/s
2026-05-03 20:56:49 | step   90/10000 | loss 5.923934 (+0.00z) | norm 0.6237 (+0.00z) | lr 1.00e-03 | 182151.80 ms | 60.0% bf16 MFU | 255 tok/s
2026-05-03 20:57:08 | step  100/10000 | loss 5.831656 (-0.09z) | norm 0.7426 (-0.09z) | lr 1.00e-03 | 201091.04 ms | 60.0% bf16 MFU | 257 tok/s
